author,link,summary,published_on
Amir Lyall,https://amirlyall.medium.com/the-benefits-of-leveraging-embeddings-in-new-product-forecasting-851b0481d16a,The Benefits of Leveraging Embeddings in New Product Forecasting,2023-06-09T00:00:00.000+0000
Florent Moiny (Professional Services),https://medium.com/@florent.moiny/value-and-execution-are-absolute-4051a5d02105,Value and execution are absolute,2023-02-12T00:00:00.000+0000
Florent Moiny (Professional Services),https://medium.com/@florent.moiny/databricks-cost-reduction-cheat-sheet-126be465e09,Databricks Cost Reduction Cheat Sheet,2023-01-22T00:00:00.000+0000
Parviz Deyhim (Enterprise Field Engineering),https://pdeyhim.medium.com/redshift-serverless-and-unexplainable-query-compile-latency-94e4eeb38946,Redshift Serverless: RPU and impact on query latency,2023-05-10T00:00:00.000+0000
Parviz Deyhim (Enterprise Field Engineering),https://pdeyhim.medium.com/is-big-data-dead-bf1465b098fc,Is big data dead?,2023-02-10T00:00:00.000+0000
Parviz Deyhim (Enterprise Field Engineering),https://pdeyhim.medium.com/reflecting-back-on-17-years-in-the-technical-sales-role-and-things-i-wish-i-knew-then-723d8b4702cd,Reflecting on 17 years in tech sales,2023-01-11T00:00:00.000+0000
Debu Sinha (Enterprise Field Engineering),https://medium.com/@debusinha2009/grouping-your-machine-learning-model-training-using-pandas-function-api-on-databricks-clusters-69ebcc28ac9d,Scaling your single node Machine Learning Model training using Pandas Function API on Databricks Clusters.,2023-05-02T00:00:00.000+0000
Debu Sinha (Enterprise Field Engineering),https://medium.com/@debusinha2009/using-and-scaling-shap-on-databricks-for-turbocharging-your-model-explainability-part-1-29099006f6b4,Using and scaling SHAP on Databricks for turbocharging your model explainability. (Part 1),2023-04-04T00:00:00.000+0000
Sathish Gangichetty (Enterprise Field Engineering),https://dsmonk.medium.com/agentic-processes-for-table-q-a-bcb114ebd36d,Agentic Processes For Table Q&A,2023-05-16T00:00:00.000+0000
Sathish Gangichetty (Enterprise Field Engineering),https://dsmonk.medium.com/simplify-deep-discovery-using-a-i-for-your-videos-and-podcasts-using-databricks-langchain-661e22d10489,Turbocharge Deep-Discovery with LLMs for Videos and Podcasts,2023-04-18T00:00:00.000+0000
Abraham Pabbathi (Enterprise Field Engineering),https://medium.com/@abraham.pabbathi/integrating-microsoft-fabric-with-databricks-f2203f65b224,Integrating MSFT Fabric with Databricks,2023-05-31T00:00:00.000+0000
Abraham Pabbathi (Enterprise Field Engineering),https://medium.com/@abraham.pabbathi/automating-jobs-in-azure-databricks-with-service-principals-2e847d107961,Automating Jobs in Azure Databricks with Service Principals,2023-05-26T00:00:00.000+0000
Youssef Mrini (Enterprise Field Engineering),https://medium.com/@youssefmrini/introduction-to-databricks-photon-4dc4a5080582,Introduction to Databricks Photon,2023-04-13T00:00:00.000+0000
Franco Patano (Enterprise Field Engineering),https://medium.com/@fpatano/the-madman-and-the-data-warehouse-in-a-box-on-lakehouse-3609cd7e7e94,The Madman and the Data Warehouse in a Box on Lakehouse,2023-04-15T00:00:00.000+0000
Franco Patano (Enterprise Field Engineering),https://medium.com/@fpatano/unleashing-the-power-of-the-data-value-smiling-curve-to-sharpen-your-competitive-edge-and-maximize-6dc0c7079f56,Unleashing the Power of the Data Value Smiling Curve to Sharpen your competitive edge and Maximize ROI,2023-03-22T00:00:00.000+0000
Franco Patano (Enterprise Field Engineering),https://medium.com/@fpatano/10-best-practices-for-writing-sql-in-databricks-7a445740e540,10 Best Practices for writing SQL in Databricks,2023-03-13T00:00:00.000+0000
Kyle Hale,https://medium.com/@kyle.hale/parameterizing-your-databricks-sql-connections-in-power-bi-fd7aae20863e,Parameterizing your Databricks SQL Connections in Power BI,2023-05-18T00:00:00.000+0000
Kyle Hale,https://medium.com/@kyle.hale/humans-need-not-apply-refreshing-databricks-sql-datasets-in-power-bi-with-service-accounts-b63fcfa46486,Humans Need Not Apply: Refreshing Databricks SQL Datasets in Power BI With Service Accounts,2023-05-05T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://polarpersonal.medium.com/building-an-image-classification-app-with-databricks-connect-v2-and-dash-3c7f855f6e6,Building an image classification app with Databricks Connect V2,2023-05-18T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://polarpersonal.medium.com/on-the-importance-of-future-proof-data-architectures-and-how-apache-spark-helps-to-build-them-9237f8388476,"On the importance of future-proof data architectures, and how Apache Spark helps to build them",2023-04-10T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://polarpersonal.medium.com/building-a-data-labeling-app-with-python-dash-and-databricks-lakehouse-48341f618b8f,"Building a data labeling app with Python, Dash, and Databricks",2023-03-08T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://polarpersonal.medium.com/useful-patterns-for-scala-spark-application-development-6799ca2ccb15,Useful Patterns for Apache Spark Application Development with Scala,2023-01-26T00:00:00.000+0000
Ryan Chynoweth,https://medium.com/@24chynoweth/task-parameters-and-values-in-databricks-workflows-ea4cfbb473b3,Task Parameters and Values in Databricks Workflows,2022-12-07T00:00:00.000+0000
Ryan Chynoweth,https://medium.com/@24chynoweth/unity-catalog-the-information-schema-1d162ede3737,Unity Catalog - The Information Schema,2022-09-01T00:00:00.000+0000
Ryan Chynoweth,https://medium.com/@24chynoweth/converting-stored-procedures-to-databricks-73fe4ab64ed0,Converting stored procedures to Databricks SQL,2022-12-22T00:00:00.000+0000
Anastasia Prokaieva,https://medium.com/@anastasia.prokaieva/serve-many-forecasting-models-with-databricks-model-serving-at-once-80d5e3f32943,Serve Many Forecasting Models with Databricks Model Serving at Once,2023-05-16T00:00:00.000+0000
Julie Nguyen,https://jnguyends.medium.com/in-depth-guide-deploy-models-from-databricks-to-azure-ml-2023-6d71572eb6f7,How-to deploy models from Databricks to Azure ML,2023-05-25T00:00:00.000+0000
Hao Wang (Enterprise Field Engineering),https://medium.com/p/aa7795e09f76,Azure - Managed Identity - UC Storage Account networking configurations,2023-05-23T00:00:00.000+0000
Amr Ali,https://amralieg.medium.com/delta-sharing-how-to-save-on-egress-costs-using-cached-data-and-incremental-change-data-feeds-a88b74543a4c,Delta Sharing: How to save on egress costs using cached data and Change Data Feeds?,2023-04-19T00:00:00.000+0000
Indranil Tarafdar,https://medium.com/@indranil_30/discovering-complex-event-stream-processing-with-spark-structured-streaming-the-lakehouse-b995a33abba3,Discovering complex event stream processing with Spark structured streaming & Delta,2023-06-02T00:00:00.000+0000
Amr Ali,https://amralieg.medium.com/delta-sharing-how-to-save-on-egress-costs-using-cached-data-and-incremental-change-data-feeds-a88b74543a4c,Delta Sharing: How to save on egress costs using cached data and incremental Change Data Feeds?,2023-04-19T00:00:00.000+0000
Ricardo Portilla,https://medium.com/@ricardo.portilla/why-open-banking-needs-an-open-format-cc5670ad2f4f,Open Banking Needs an Open Format,2023-04-24T00:00:00.000+0000
null,https://medium.com/@ganeshdogiparthi23/databricks-job-migration-c27904fe08d3,Databricks - Job Migration,2023-04-26T00:00:00.000+0000
Chang Shi Lim,https://medium.com/@changiti/parallel-video-processing-with-pandas-udf-and-function-api-53676fff4b5c,Parallel Video Processing with Pandas UDF,2023-05-02T00:00:00.000+0000
Akshay Sharma,https://medium.com/@akssha74/databricks-library-migration-d7a21b0c2d8e,Libraries Migration across Clusters in Databricks.,2023-03-29T00:00:00.000+0000
Aashita Ramteke,https://medium.com/@aashita.ramteke/beginners-guide-to-databricks-batch-processing-and-streaming-part-1-266d51fa16cf,"Beginners guide to Databricks, Batch processing and Streaming | Part 1 Blog post",2023-03-09T00:00:00.000+0000
Kiran Sreekumar (Enterprise Field Engineering),https://medium.com/@kiransreekumar/why-should-you-start-using-databricks-workflows-for-your-lakehouse-945d43069bd,Why should you start using Databricks workflows for your Lakehouse?,2023-03-15T00:00:00.000+0000
null,https://amralieg.medium.com/how-to-sync-two-tables-using-merge-into-and-delta-lake-cdf-or-cdc-e620966fae6a,How to Sync Changes between two tables using MERGE INTO and Delta Lake CDF (or CDC)?,2023-03-13T00:00:00.000+0000
Landan George (Enterprise Field Engineering),https://medium.com/@l.h.g/real-time-change-data-capture-from-snowflake-to-databricks-with-arcion-ee373c9ba44c,Real-time CDC from Snowflake to Databricks with Arcion,2023-03-22T00:00:00.000+0000
Pradeep Ravi,https://medium.com/@rahuljax26/autoloader-cookbook-part-1-d8b658268345,Cookbook for Autoloader,2023-03-16T00:00:00.000+0000
Avinash Sooriyarachchi (Enterprise Field Engineering),https://avi-soori.medium.com/build-your-own-ai-coding-assistant-with-databricks-using-visual-studio-code-and-github-copilot-50643317082f,Build your own AI Coding Assistant with Databricks using Visual Studio  Code and GitHub Copilot,2023-03-03T00:00:00.000+0000
Catherine Fan,https://medium.com/@knitink/why-databricks-for-sap-erp-analytics-f604a64fabb4,Why Databricks for SAP ERP Analytics,2023-02-17T00:00:00.000+0000
null,https://fukumaruuu.medium.com/a-step-by-step-guide-to-using-mlflow-recipes-to-refactor-messy-notebooks-f78196b97ff0,A step-by-step guide to using MLFlow Recipes to refactor messy notebooks,2022-12-26T00:00:00.000+0000
Franco Patano (Enterprise Field Engineering),https://medium.com/@fpatano/the-next-generation-data-platform-delivered-by-lakehouse-26a4d49dd88c,Put the warehouses on their toes,2022-11-29T00:00:00.000+0000
Franco Patano (Enterprise Field Engineering),https://medium.com/@fpatano/connect-excel-to-databricks-sql-warehouse-ec5b707c35e5,Connect Excel to DBSQL ,2022-11-28T00:00:00.000+0000
Landan George (Enterprise Field Engineering),https://medium.com/@l.h.g/building-an-end-to-end-no-code-pipeline-with-databricks-18c3819dadf0,End-to-end No/Low Code pipeline,2023-01-19T00:00:00.000+0000
Landan George (Enterprise Field Engineering),https://medium.com/@l.h.g/3-ways-to-copy-snowflake-tables-to-delta-tables-in-databricks-dfc11833b293,Copying Data from Snowflake Tables to Delta Tables,2022-11-16T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://medium.com/@polarpersonal/quacks-like-a-duck-why-you-probably-should-use-pydantic-more-in-your-python-apps-197accf1fdfc,"""Quacks like a duck"" - Why you probably should use pydantic more in your Python apps",2022-11-03T00:00:00.000+0000
